"ID","smoke","alcohol","csp"
"KF773208.16.6.1994.BE","non-fumeur","occasionnellement","Ouvriers"
"KF773215.26.6.1994.BE","fumeur occasionnel",NA,"Agriculteurs exploitants"
"MH642402.3.5.1994.BE","fumer modéré","régulièrement","Professions Intermédiaires"
"KF773221.1.4.1994.BE","fumeur léger",NA,"Professions Intermédiaires"
"KF773218.14.4.1994.BE","fumer modéré","occasionnellement","Employés"
"MH642414.3.6.1994.BE","fumer modéré","régulièrement","Employés"
"FM165645.4.6.1994.BE","fumeur léger","occasionnellement","Employés"
"KF773219.10.6.1994.BE","gros fumeur","régulièrement","Cadres et professions intellectuelles supérieures"
"MH642541.19.5.1994.BE","gros fumeur","régulièrement","Employés"
"KF773462.13.5.1994.BE","fumeur léger","régulièrement","Employés"
"KF773213.18.6.1994.BE","fumer modéré",NA,"Employés"
"KF773209.3.4.1994.BE","gros fumeur",NA,"Cadres et professions intellectuelles supérieures"
