"ID","smoke","alcohol","csp"
"AF191405.13.7.1995.DK","fumeur léger","régulièrement","Employés"
"DQ308124.27.7.1995.DK","gros fumeur","occasionnellement","Employés"
"AF191426.16.7.1995.DK","fumeur léger","quotidiennement","Professions Intermédiaires"
"DQ308126.3.7.1995.DK","non-fumeur","régulièrement","Agriculteurs exploitants"
"DQ308064.8.7.1995.DK","non-fumeur","occasionnellement","Professions Intermédiaires"
"DQ307957.10.8.1995.DK","fumer modéré","régulièrement","Cadres et professions intellectuelles supérieures"
"DQ308154.3.7.1995.DK","fumer modéré","jamais","Professions Intermédiaires"
"AF191460.8.7.1995.DK","fumeur occasionnel","jamais","Employés"
"DQ307946.2.7.1995.DK","gros fumeur","régulièrement","Artisans, commerçants et chefs d’entreprise"
"AF191387.12.7.1995.DK","fumeur occasionnel","occasionnellement","Employés"
"AF191398.13.7.1995.DK","gros fumeur","régulièrement","Artisans, commerçants et chefs d’entreprise"
"AF191464.28.7.1995.DK","fumer modéré","occasionnellement","Professions Intermédiaires"
"AF191371.13.7.1995.DK","fumeur léger","quotidiennement","Ouvriers"
"DQ308122.12.7.1995.DK","fumeur occasionnel","régulièrement","Cadres et professions intellectuelles supérieures"
"AF191363.9.7.1995.DK","fumeur occasionnel","occasionnellement","Cadres et professions intellectuelles supérieures"
"DQ308153.5.9.1995.DK","fumer modéré","occasionnellement","Professions Intermédiaires"
"AF191478.18.9.1995.DK","fumer modéré","régulièrement","Professions Intermédiaires"
"DQ307955.10.9.1995.DK","fumeur léger","jamais","Employés"
"AF191422.2.7.1995.DK","gros fumeur","quotidiennement","Ouvriers"
"DQ307959.1.7.1995.DK","fumeur occasionnel","quotidiennement","Ouvriers"
