"ID","smoke","alcohol","csp"
"AJ425891.2.6.1996.GB","gros fumeur","quotidiennement","Cadres et professions intellectuelles supérieures"
"GQ462337.3.6.1996.GB","fumer modéré","occasionnellement","Cadres et professions intellectuelles supérieures"
"GQ462442.7.6.1996.GB","fumeur occasionnel","quotidiennement","Ouvriers"
"AY901188.25.6.1996.GB","fumeur léger","occasionnellement","Cadres et professions intellectuelles supérieures"
"GQ462396.10.5.1996.GB","fumeur léger","occasionnellement","Cadres et professions intellectuelles supérieures"
"GQ462467.12.5.1996.GB","fumeur léger","occasionnellement","Agriculteurs exploitants"
"GQ462353.20.6.1996.GB","gros fumeur",NA,"Ouvriers"
"KT860116.16.6.1996.GB","fumeur occasionnel","jamais","Cadres et professions intellectuelles supérieures"
"AY901794.13.6.1996.GB","gros fumeur","occasionnellement","Professions Intermédiaires"
"AY901185.7.4.1996.GB","non-fumeur","jamais","Cadres et professions intellectuelles supérieures"
